Kavárna Tøi ocásci;tøída Kapitána Jaroše 18, Brno;
Kavárna Café Brussel;Pekaøská 364/76, Brno;
Kavárna Mezzanine;Údolní 435/15, Brno;
Kavárna Café Momenta;Zelnı trh 314/2, Brno;
Kavárna Klafé;Klácelova 281/1a, Brno;
Kavárna Coffee Fusion;Jánská 460/25, Brno;
Kavárna Café Atlas;erotínovo námìstí 533/6, Brno;
Kavárna Cafe Podnebi;Údolní 222/5, Brno;
Kavárna Skog;Dominikánské námìstí 187/5, Brno;
Kavárna Caffé Fratelli;Prùchodní 377/2 , Brno;
The Cat Café;Martinkova 7, Brno;
Art Café Bar Morgal;Moravské námìstí 1a, Brno;
Veselá èajovna;Kobliná 5, Brno;
èajovna Leyaly;Kolištì 1907/3, Brno;
Kavárna V Melounovém cukru;Františkánská 494/17, Brno;
Coffee Bar Mymika;Lidická 15, Brno;
Bistro Napoli;Jundrovská 43, Brno;
Èajovna za zrcadlem;Jaselská 16, Brno;
Sampalero dìtská kavárna a bazar;Jezuitská 585/4, Brno;
Campus river;Palachovo námìstí 726/2, Brno;
Cafe restaurant Tivoli;Koneèného námìstí 539/6, Brno;
Kavárna Spolek;Orlí 517/22 , Brno;
Kavárna Vídeòka Café;Vídeòská 849/15, Brno;
Kavárna Liberty cafe;Radnická 378/7, Brno;
Zahrada Ambrosia;Údolní 599/37 , Brno;
Kavárna Caffé del Saggio;Helceletova 232/2, Brno;
Podnik café bar;Peroutková 5, Brno;
Kavárna Pole;Durïákova 5, Brno;
Bon Bon café;námìstí Míru 374/2 , Brno;
Cafe Bar Paparazzi;Joštova 4, Brno;
Monty Jack Café bar;Jana Uhra 168/10, Brno;
Cukrárna-kavárna Smile;námìstí 28. dubna 10/40, Brno;
Point Café;námìstí Svobody 72/8, Brno;
Kavárna Redwall Café    ;Gajdošova 4454/10 , Brno;
Kavárna Tu cafe;Nádraní 2a, Brno;
Kavárna Chat Noir       ;Lidická 19, Brno;
Kavárna Bezcukrárna     ;Pekárenská 12, Brno;
Pelíšek - koèièí kavárna;tø. Kpt. Jaroše 37A, Brno;
J&T café Brno;Trnitá 500/7, Brno;
Kavárna No Feet;Vaòkovo nám. 1a, Brno;
Da Vinci;Kozí 8, Brno;
Bukovskı kavárna - cukráøství;Minská 2, Brno;
Café & Bistro Bílá Vrána;Kristenova 1, Brno;
Sound café & bar Vyhlídka;námìstí Svobody 86/17, Brno;
Yacht Caffe Vergnano;tø. Kpt. Jaroše 28, Brno;
Kavárna Café Práh;Ve Vaòkovce 462/1, Brno;
Kavárna a Pekaøství Zastávka;Táborská 232, Brno;
Gourmet Cafe;Škrobárenská 502/1, Brno;
Kavárna Divná paní;Meèová 6, Brno;
Kavárna Šestá vìtev;Moravské námìstí 12, Brno;
Èajovna Utopia;Divadelní 3, Brno;
Café Flexaret;Kopeèná 2/21, Brno;
Jet Café;námìstí Svobody 86/17, Brno;
Kavárna Panksy;Jaselská 17, Brno;
Brumli Caffé;Durïákova 4, Brno;
Kavárna Gimmi Lounge Cafe;Slovanské námìstí 2237/1 , Brno;
Kavárna Lazy Monkey;Skøivanova 12a, Brno;
Mòau Café&Bar;Josefská 1, Brno;
Kavárna Quido;Rybníèek 325/6, Brno;
Kavárna Ventana Café;Boetìchova 22/1, Brno;
Kavárna Rùová slepièka;Jánská 449/12, Brno;
Curkáøství Martinák;Veveøí 14, Brno;
Cukrárna Tutti Frutti;Jiráskova 1A, Brno;
Café Mitte;Panská 362/11 , Brno;
Kavárna Falk;Gorkého 2/12, Brno;
Music Bar Alterna;Kounicova 506/48, Brno;
Kavárna Podobrazy;Zelnı trh 14, Brno;
Literární èajovna Sklenìná louka;Kounicova 276/23, Brno;
Hudební kavárna Stará Pekárna;Štefánikova 75/8, Brno;
Cukrárna Bali Boráková;Minská 226/52, Brno;
Cukrárna U Mlsné koèky;Hranièky 1, Brno;
Zemanova kavárna a cukrárna;Josefská 493/4, Brno;
Café Magnifique;Ve Vaòkovce 462/1, Brno;
Restaurace Kinokavárna;námìstí SNP 1771/33, Brno;
Cukrárna Luna;ebìtínská 70, Brno;
Cukrárna a kavárna Aida;Kozí 9, Brno;
Literární kavárna Academia Brno;námìstí Svobody 79/13, Brno;
Kavárna Aurum-caffe;Palackého tøída 3048/124, Brno;
Kavárna Cafe Soma;Jana Uhra 169/11, Brno;
Cukrárna a kavárna Klokánek;Merhautova 960/84, Brno;
D-Café;Lidická 1864/18, Brno;
Cafe Bar DanaD;Kubíèkova 1115/8, Brno;
Kavárna Café Steiner;Gorkého 9/38, Brno;
Kavárna Beng!;Bratislavská 246/67 , Brno;
Kavárna Café Laundry;Lidická 1878/46 , Brno;
Terraza café & bar;námìstí Svobody 86/17, Brno;
Café Alfa;Starobrnìnská 33/16, Brno;
Kavárna Akademie caffe;Purkyòova 3030/35a , Brno;
Industra Coffee;Masná 9, Brno;
Kavárna Gills Coffe;Veveøí 456/9, Brno;
Kniní kavárna Dobrovskı;Joštova 137/6, Brno;
Kavárna Limbo;Jaselská 17, Brno;
Cukrárna Raw with love;Anenská 7, Brno;
Spirit bar Brno;Františkánská 7, Brno;
Kavárna Naše vìci;Jiráskova 16, Brno;
Kavárna Adrinela Cafe;ivotského 195/14, Brno;
Café Mendel;Mendlovo nám. 1A, Brno;
Kavárna Penerini coffee;Palackého tøída 60, Brno;
Kavárna Andìl;Gorkého 34, Brno;
Kavárna Kávová Hvìzda;Jezuitská 3, Brno;
Kavárna Café Kaštanová;Kaštanová 515/125a, Brno;
Kavárna Caffé Trieste Brno;Pøíkop 188/29, Brno;
Kavárna Coffee Shop Lavazza Tripoli;námìstí Svobody 16, Brno;
Kavárna Café Art;Cihláøská 19, Brno;
Kavárna Ronny;Veveøí 51, Brno;
Kavárna Forza Caffé;Bendlova 29, Brno;
Kavárna Café Plus;Jakubské nám. 580/4, Brno;
Kavárna Winci;Malinovského námìstí 5, Brno;
Kavárna Piknik box;Björnsonùv sad, Brno;
Skull Caffé;námìstí Svobody 21, Brno;
Café Špilberk;Špilberk 210/1, Brno;
SemTam s láskou;Tábor 36, Brno;
Kavárna Cafe Infinity (Brno);Skandinávská 128/2, Brno;
Kavárna Kult Cafe;Husitská 6, Brno;
Kafe & Bar Labyrint;Smetanova 633/51, Brno;
Costa Coffee - Brno;Josefská 427/14, Brno;
Music Café Semilasso;Palackého tøída 126, Brno;
Coffee bar Meet me;Veveøí 17, Brno;
Monogram Espresso Bar;Kapucínské námìstí 12, Brno;
Caffe Nico-L;Orlí 1, Brno;
Cukrárna Tøi ocásci;Gorkého 39, Brno;
Kavárna Koffein;Panská 13, Brno;
Café Le Petit;Orlí 20, Brno;
Café Localité;Jánská 12, Brno;
Panos Èeská;Èeská 32, Brno;
The Roses Beer&Coffee;Purkyòova 2415/116, Brno;
Magnet Café;Jiráskova 41, Brno;
Cukrové nebe;Úvoz 120/120, Brno;
Spital Cafe Mitte;Netroufalky, Brno;
Rotatoria caff? Medlánky;V Újezdech 1, Brno;
Kafe Friedrich;Smetanova 45, Brno;
;;
pivnice,bary,pivovary;;
Stopkova Plzeòská Pivnice;Èeská 163/5, Brno;
Pivní burza Jánská;Jánská 467/16, Brno;
Pivní burza Veveøí;Veveøí 52/21, Brno;
Jedna Báseò wine & coffee bar;Sukova 2, Brno;
Lloyd's;Štefánikova 134/64, Brno;
Pivnice a bar Pod Studnou;Orlí 491/16, Brno;
Jakoby;Jakubské námìstí 128/6, Brno;
Bogota;Nádraní 686/9, Brno;
Padowetz;Masarykova 413/34, Brno;
Valoria;Bohunická 292/2, Brno;
Klub cestovatelù Brno;Veleslavínova 183/14, Brno;
Siesta Lobby and Wine restaurant;Husova 200/16, Brno;
Retro Consistorium;Meèová 4, Brno;
Pivnice U Èápa;Obilní trh 68/10, Brno;
Restaurace Stavba;Grohova 2, Brno;
U Bílého beránka;Štefánikova 85/16, Brno;
Esport bar 21;Jánská 21, Brno;
Kohout NA VÍNÌ;Malinovského námìstí 2, Brno;
Bar, kterı neexistuje;Dvoøákova 24/1 , Brno;
Kavárna Skog;Dominikánské námìstí 187/5, Brno;
Steakovı a pivní bar Pod Lékárnou BRNO;Slovákova 350/1, Brno;
The Erin's Flag Irish Pub;Biskupská 3, Brno;
Montenegro pub;Kotláøská 30, Brno;
Art Café Bar Morgal;Moravské námìstí 1a, Brno;
U Kocoura;Biskupská 6, Brno;
Bar Zóna 59;Kounicova 59, Brno;
Pivnice U Èolka;Tábor 3, Brno;
Campus river;Palachovo námìstí 726/2, Brno;
Pivovarská restaurace U Richarda  ;Ríšova 64/12, Brno;
Suzie's Steak pub;Kounicova 681/10, Brno;
Zastávka - pivnice malıch pivovarù;Úvoz 78, Brno;
Pivnice Pegas;Jiráskova 244/44, Brno;
Pizzerie Ratejna;Dvoøákova 588/13, Brno;
Parodie;Vachova 8, Brno;
U Richarda;Údolní 223/7, Brno;
2M´s ALOHA cocktail & café bar    ;Kozí 19/10, Brno;
Pivovarská Starobrno;Mendlovo námìstí 158/20, Brno;
Dalešická pivnice U Oslù;Sokolská 361/10, Brno;
Sportbar Arena;Hybešova 259/21, Brno;
Pub U Dvou pøátel;Tábor 25, Brno;
Sborovna;Botanická 1, Brno;
Grand restaurant Zelená Koèka;Kounicova 57/83, Brno;
Restaurace U Tøech Èertù;Dvoøákova 645/6, Brno;
Bar The Immigrant;Veveøí ev.è. 57, Brno;
U Døeváka;Døevaøská 22, Brno;
Metro-Bar;Pekaøská 24, Brno;
Pivní šenk Ètyøi rùe;Veveøí 32, Brno;
Mamut Pub;Bašty 416/8, Brno;
Modrá rùe - Pivní a steakovı bar;Kounicova 2, Brno;
Restaurace Pivní stáj;Veveøí 38 , Brno;
Zelená Koèka Pivárium;Dvoøákova 633/3, Brno;
Pivovarskı restaurant Zelená koèka;Solnièní 145/8, Brno;
První Doubravnická restaurace;Milady Horákové 1, Brno;
Cohiba Club Conti;Kounicova 680/6 , Brno;
Bar Naproti;Jana Uhra 162/4, Brno;
Sky Ice Bar;Poštovská 1, Brno;
Cafe Bar Paparazzi;Joštova 4, Brno;
Super Panda Circus;Šilingrovo námìstí 257/3, Brno;
Spodní bar;Jánská 9, Brno;
Restaurace a pivnice Zannam;Selská 1057/76, Brno;
Koneèná 5 Bar Brno;Merhautova 234, Brno;
Runway cocktail bar;Jezuitská 687/6, Brno;
Da Vinci;Kozí 8, Brno;
Svatovavøineckı dvùr;Palackého námìstí 79/9, Brno;
Sound café & bar Vyhlídka;námìstí Svobody 86/17, Brno;
Pivnice Lokálek;Kotláøská 265/5, Brno;
Pivnice JBM Brew Lab;Grohova 17, Brno;
Pivnice U Èerveného Míèe;Staòkova 15, Brno;
Malej Velkej Bar;Jakubské námìstí 101/2, Brno;
Pivnice Dva Blázni na polièce;Lidická 5A, Brno;
Pivnice Qíèepu;Kubíèkova 8, Brno;
U Valáška;Hrnèíøská 884/3, Brno;
Ambra;Hrnèíøská 884/3, Brno;
Bar Bowling Balkán;Jugoslávská 5, Brno;
Toscana;Zemìdìlská 868/55, Brno;
U Zlaté konve;Údolní 399/34 , Brno;
Špalíèek;Zelnı trh 332/12, Brno;
Pivnice Pošta;Burianovo nám. 681/8a, Brno;
BAT BEERHOUSE - Ochutnávková pivnice;Juliánovské nám. 3878/2, Brno;
Pomalı bar;Úvoz 60, Brno;
Simpson bar;Durïákova 2, Brno;
Music Bar Alterna;Kounicova 506/48, Brno;
Tabarin Club Brno;Divadelní 603/3, Brno;
Deja Vu;Úvoz 491/26, Brno;
Hudební kavárna Stará Pekárna;Štefánikova 75/8, Brno;
U Sedláka;Divadelní 603/3, Brno;
Rosnièka;Jana Neèase 966/1, Brno;
Snackbar Adria;Masarykova 427/31, Brno;
Vıèep Na stojáka Jakubák;Bìhounská 6/16, Brno;
Jim Beam BAR;Slovákova 351/2, Brno;
Charlie’s Bar;Kobliná 63/12, Brno;
Clubwash - bar;Stará 107/27 , Brno;
Terraza café & bar;námìstí Svobody 86/17, Brno;
Spirit bar Brno;Františkánská 7, Brno;
Vinárna a bar Tropican;Kapucínské nám. 6, Brno;
Blues Traubka Bar;Traubova 1547/8, Brno;
Pivnice U Gogola;Kachlíkova 1102/14, Brno;
Pivnice na Husitské;Husitská 12, Brno;
Joštova pivnice;Veselá 37, Brno;
Kafe & Bar Labyrint;Smetanova 633/51, Brno;
Pivnice Orion;Øezáèova 5, Brno;
SportBAR 77;Chrlické nám. 5, Brno;
Pivnice Na Šrébráku;Jugoslávská 34, Brno;
Pivnice U Tekutého chleba;Moravské námìstí 755/14a, Brno;
U Høebíèkù;Riegrova 18, Brno;
4 pokoje;Vachova 6, Brno;
Suterén Pub;Veveøí 43, Brno;
Na Štanıøi;Obøanská 340/135, Brno;
Restaurace a Cocktail bar Arca;Masarykova 14, Brno;
Rescue bar;Štefánikova 131/61, Brno;
Štatl;námìstí Svobody 3, Brno;
JINEJ Bar;Bìhounská 109/9, Brno;
Tribunal - esports bar;Kopeèná 14, Brno;
Degustaèní bar a kavárna Weeno;Jemelkova 31, Brno;
Rum bar;Slovákova 350/1, Brno;
Bar Forrum;Skácelova 59, Brno;
Liquid Bread;Purkyòova 35, Brno;
Shot bar;Kozí 12, Brno;
Klub ivo u Paleèka;Kolištì 23, Brno;
Bar 7 høíchù;Jakubská 7, Brno;
Komín pub;Absolonova 10A, Brno;
Van Morrison;Táborská 201/63, Brno;
Atrium;Josefská 514/5, Brno;
DORAZ klub a bar;nám. Karla IV. 29a/29a, Brno;
Dobré pivo;Starobrnìnská 340/14, Brno;
HighFive;Bašty 415/6, Brno;
Pool Grill;Halasovo námìstí 7, Brno;
Botanic Bar & Bistro;Botanická 19, Brno;
Pivnice H30;Horova 30, Brno;
Pivnice 8;Tábor 8, Brno;
Shisha Original lounge & café;Husova 594/6, Brno;
Jekyll & Hyde;Josefská 7, Brno;
Cabaret des Péchés;Dominikánské nám. 2, Brno;
Axiom Pub;Poštovská 68/3, Brno;
Racek;Jungmannova 700/5, Brno;
Severka;Tuèkova 920/30, Brno;
Caribic club;Bìhounská 2/24, Brno;
Perpetuum Music Club;Rooseveltova 584/9, Brno;
;;
vinarny;;
Restaurace a vinárna Baroko;Orlí 469/17, Brno;
Vinárna Perkmistr;Dusíkova 910/17, Brno;
Restaurace a vinárna Kabaret Špaèek;Kopeèná 326/46 , Brno;
Gyros Taverna Athena;Štefánikova 71/4, Brno;
Vinárna Vinnı sklípek - Orlí;Orlí 483/1, Brno;
Vinárna Jean Paul Vrchlického;Vrchlického sad 1893/3, Brno;
Vinárna Vinárium;Starobrnìnská 13, Brno;
Vinárna Rovensklípek Brno;K sídlišti 773/2 ètvr Brno-Chrlice 643 00 , Brno;
Vinárna Vinná Galerie;Luánecká 1891/16, Brno;
íznivá vinotéka;Marešova 14, Brno;
Vinotéka U Tøí kníat;Jánská 12, Brno;
Vinárna a bar Tropican;Kapucínské nám. 6, Brno;
Vinotéka Svoboda;Táborská 460/51, Brno;
Vinotéka Infinite;Štefánikova 51, Brno;
JustWINE bar & shop Zahradníkova;Zahradníkova 28/28, Brno;
Vinotéka U rybníèku;Štefánikova 19a, Brno;
Vinotéka Livino;Øíèanská 1290/7, Brno;
JustWINE bar & shop Dvoøákova 1;Dvoøákova 1/1, Brno;
;;
rodinná restaurace;;
Èínská restaurace Chutné Štìstí;Lidická 1874/38, Brno;
Sabaidy;tøída Kpt. Jaroše 1942/29, Brno;
Indická a nepálská restaurace Buddha;Námìstí Svobody 21, Brno;
Cukrárna-kavárna Smile;námìstí 28. dubna 10/40, Brno;
Bukovskı kavárna - cukráøství;Minská 2, Brno;
U Mlsné Rózy;Døevaøská 24, Brno;
U Emila;Hybešova 224/13, Brno;
Hospùdka U Bosé nohy;Jiráskova 11, Brno;
